Lookup ID,Age,Gender_Female,Gender_Male,Gender_Unknown,Marital status_Divorced,Marital status_Life Partner,Marital status_Married,Marital status_Single,Marital status_Unknown,Marital status_Widow/er,"Education History\Class of_(1949.999, 1983.0]","Education History\Class of_(1983.0, 1992.0]","Education History\Class of_(1992.0, 2001.0]","Education History\Class of_(2001.0, 2025.0]",Education History\Educational degree_AA:,Education History\Educational degree_AB:,Education History\Educational degree_AVI,Education History\Educational degree_BA:,Education History\Educational degree_BAL,Education History\Educational degree_BBA,Education History\Educational degree_BFA,Education History\Educational degree_BME,Education History\Educational degree_BMU,Education History\Educational degree_BS:,Education History\Educational degree_BSJ,Education History\Educational degree_BSL,Education History\Educational degree_BSN,Education History\Educational degree_BSW,Education History\Educational degree_BUP,Education History\Educational degree_CAS,Education History\Educational degree_CTE,Education History\Educational degree_DSC,Education History\Educational degree_DVM,Education History\Educational degree_EDD,Education History\Educational degree_EDM,Education History\Educational degree_HSG,Education History\Educational degree_JD:,Education History\Educational degree_LLM,Education History\Educational degree_MA:,Education History\Educational degree_MAR,Education History\Educational degree_MAS,Education History\Educational degree_MBA,Education History\Educational degree_MCS,Education History\Educational degree_MD:,Education History\Educational degree_MDI,Education History\Educational degree_MEN,Education History\Educational degree_MFA,Education History\Educational degree_MHR,Education History\Educational degree_MS:,Education History\Educational degree_MSW,Education History\Educational degree_NDE,Education History\Educational degree_PHA,Education History\Educational degree_PHD,Education History\Educational degree_nan,Email Addresses\Email address_Yes,Email Addresses\Email address_no
11177926,25,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11546877,77,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
11698248,42,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
11689638,54,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13778288,56,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
11718810,43,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11661970,49,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13769225,35,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14333778,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
11757525,44,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
